Region,Country,State,City,Hotel Name,Address,Rating,Number of Reviews,Weighted rating of each unique hotel,Average rating of this brand,Place ID,Google Maps Link,Loyalty Program,Number of hotels of this brand in the program,Corporation,Segment,Total hotels of Corporation / Loyalty Program in this region,Total hotels of Corporation / Loyalty Program in this country,Total hotels of brand in this region,Total hotels of brand in this country,Hotel Brand,Vibe Keywords,Travel Purpose Keywords
Africa,Algeria,-,Bab Ezzouar,Mercure Alger Aeroport,"Route De L'Université, Bp 12 Cité 5 Juillet, Bab Ezzouar 16110, Algeria","4,4",4912,"4,060481441","3,972017354",ChIJ5-DSvpVRjhIRyXmCI0MW0eg,Відкрити в Google Maps,ALL - Accor Live Limitless,922,Accor Hotels,Comfort,66,6,12,1,Mercure Hotels,"Cozy & family-friendly, boutique & unique, local flavor, individual style, regional authenticity, cultural connection, unique character, European charm","Relaxation: local experience, regional flavor, authentic impressions; Family Travel: comfortable atmosphere, cultural immersion"
Africa,Algeria,-,Babezzouar,ibis Algiers Airport,"Quartier Des Affaires De Babezzouar Bp134, 16011, Algeria","4,5",7114,"4,333696767","4,120402685",ChIJc78HnsFRjhIRc6qSJNGMM-w,Відкрити в Google Maps,ALL - Accor Live Limitless,745,Accor Hotels,Standart,66,6,23,5,Ibis Hotels,"Practical & economical, modern & design-focused, minimalist functionality, affordable modernity, basic comfort, urban style, economical quality, clear concept","Short Stays: quick check-in, efficient process, convenient location, urban accessibility; Business Trips: basic work conditions"
Africa,Algeria,-,Constantine,ibis Constantine,"2 Square Hadj Ali, Constantine 25000, Algeria","4,2",1320,"3,276947958","4,120402685",ChIJWyPP8RZ38RIRqJPwqK-zbsk,Відкрити в Google Maps,ALL - Accor Live Limitless,745,Accor Hotels,Standart,66,6,23,5,Ibis Hotels,"Practical & economical, modern & design-focused, minimalist functionality, affordable modernity, basic comfort, urban style, economical quality, clear concept","Short Stays: quick check-in, efficient process, convenient location, urban accessibility; Business Trips: basic work conditions"
Africa,Algeria,-,Oran,Ibis Oran les Falaises,"Avenue De Canastel, Route Des Falaises, Oran 31000, Algeria","4,2",2908,"3,636930907","4,120402685",ChIJG3r_yz2Ifg0RBlWIEg6DrUU,Відкрити в Google Maps,ALL - Accor Live Limitless,745,Accor Hotels,Standart,66,6,23,5,Ibis Hotels,"Practical & economical, modern & design-focused, minimalist functionality, affordable modernity, basic comfort, urban style, economical quality, clear concept","Short Stays: quick check-in, efficient process, convenient location, urban accessibility; Business Trips: basic work conditions"
Africa,Algeria,-,Setif,ibis Setif,"ALN Ave, Setif 19000, Algeria","4,4",1486,"3,489542065","4,120402685",ChIJYd_gkY0V8xIRc4JEWhcQw3I,Відкрити в Google Maps,ALL - Accor Live Limitless,745,Accor Hotels,Standart,66,6,23,5,Ibis Hotels,"Practical & economical, modern & design-focused, minimalist functionality, affordable modernity, basic comfort, urban style, economical quality, clear concept","Short Stays: quick check-in, efficient process, convenient location, urban accessibility; Business Trips: basic work conditions"
Africa,Algeria,-,Tlemcen,ibis Tlemcen,"Boulevard El Kiffane, Tlemcen 13000, Algeria",4,1151,"3,061452479","4,120402685",ChIJLdyBM1DIeA0RXlbA_viEthk,Відкрити в Google Maps,ALL - Accor Live Limitless,745,Accor Hotels,Standart,66,6,23,5,Ibis Hotels,"Practical & economical, modern & design-focused, minimalist functionality, affordable modernity, basic comfort, urban style, economical quality, clear concept","Short Stays: quick check-in, efficient process, convenient location, urban accessibility; Business Trips: basic work conditions"
Africa,Algeria,-,Dar El Beïda,Hyatt Regency Algiers Airport,"Houari Boumediene Airport, Dar El Beïda 16033, Algeria","4,5",1897,"3,688083234","4,318333333",ChIJIQLkAaVRjhIRusl-F4p7xqE,Відкрити в Google Maps,World of Hyatt,240,Hyatt Hotels Corporation,Comfort,17,1,10,1,Hyatt Regency,"Business-oriented, luxurious & refined, large-scale spaces, great opportunities, corporate elegance, business luxury, conference excellence, confident style","Business Trips: large-scale conferences, corporate events, powerful infrastructure, business efficiency; Relaxation: full service"
Africa,Algeria,-,Cheraga,"Holiday Inn Algiers - Cheraga Tower, an IHG Hotel","02 Rte de Ouled Fayet, Chéraga 16002, Algeria","4,4",2786,"3,789650666","4,180408163",ChIJk2AXUBywjxIRL5-3XGsX3Wc,Відкрити в Google Maps,IHG One Rewards,735,InterContinental Hotels Group,Comfort,28,1,15,1,Holiday Inn Hotels & Resorts,"Cozy & family-friendly, practical & economical, traditional hospitality, friendly atmosphere, comfort for all, family accessibility, reliable leisure, simple pleasures","Family Travel: child-friendly, family entertainment, comfortable leisure, kids eat free; Short Stays: convenient location"
Africa,Algeria,-,Bab Ezzouar,Algiers Marriott Hotel Bab Ezzouar,"Trust Complex Buildings Nouveau, Bab Ezzouar 16311, Algeria","4,3",1417,"3,388051948","4,331125828",ChIJZVdFGpRRjhIR9MFIGb6_h6s,Відкрити на Google Maps,Marriott Bonvoy,604,Marriott International,Comfort,33,4,15,2,Marriott Hotels,"Business-oriented, classic & traditional, modern functionality, reliable service, business efficiency, professional environment, conference capabilities","Business Trips: business center, conference halls, productive workspaces, professional events, corporate events; Relaxation: quality leisure"
Africa,Algeria,-,Oued Rhumel,Constantine Marriott Hotel,"Oued Rhumel Street Cite Des Arcades Romaines, 25103, Algeria","4,4",1679,"3,54784021","4,331125828",ChIJ_f0t4ih38RIRASMJ_DHAogU,Відкрити на Google Maps,Marriott Bonvoy,604,Marriott International,Comfort,33,4,15,2,Marriott Hotels,"Business-oriented, classic & traditional, modern functionality, reliable service, business efficiency, professional environment, conference capabilities","Business Trips: business center, conference halls, productive workspaces, professional events, corporate events; Relaxation: quality leisure"
